ID,weekend_nights,week_nights,room_type,board_type,n_adults,n_less_12,n_more_12,booked_tour,n_requests,lead_time,purchase_type,n_p_cacellation,n_p_not_cacellation,repeated,price,date,is_canceled
INN22155,0,1,Room_Type 1,,1,0,0,0,0,40,Online,0,0,0,118.1,5/25/2018,1
INN10850,0,3,Room_Type 1,full board,1,0,0,0,1,0,Online,0,0,0,131.33,3/22/2018,0
INN21927,0,4,Room_Type 4,,2,0,0,0,1,256,Online,0,0,0,138.15,8/31/2018,1
INN18150,0,4,Room_Type 1,,2,0,0,0,2,12,Online,0,0,0,125,09/08/2017,0
INN13691,1,2,Room_Type 1,,2,0,0,0,0,321,,0,0,0,,9/30/2018,1
INN23296,0,2,Room_Type 1,,2,0,0,0,0,260,,0,0,0,,8/30/2018,0
INN07082,2,3,Room_Type 1,,2,0,0,0,1,36,,0,0,0,,5/15/2018,0
INN02740,2,1,Room_Type 1,half board,1,0,0,0,0,42,Online,0,0,0,113.9,4/17/2018,1
INN17003,0,2,Room_Type 1,breakfast,2,0,0,0,1,318,Offline,0,0,0,135,6/24/2018,1
INN02725,2,3,Room_Type 4,half board,3,0,0,0,1,114,Online,0,0,0,161.32,5/22/2018,1
INN28852,1,0,Room_Type 1,,1,0,0,1,0,4,,0,0,0,,05/02/2018,0
INN02730,2,2,Room_Type 4,half board,2,0,0,0,0,62,Offline,0,0,0,80,11/08/2017,0
INN15961,0,1,Room_Type 1,half board,1,0,0,1,1,3,Corporate,0,4,1,87,05/11/2018,0
INN22705,1,2,Room_Type 1,full board,2,0,0,0,1,144,Online,0,0,0,105.5,6/27/2018,0
INN07812,0,2,Room_Type 1,,2,0,0,0,0,387,,0,0,0,72,12/09/2018,0
INN00479,0,3,Room_Type 1,half board,2,0,0,0,0,172,Offline,0,0,0,120,8/25/2018,0
INN02026,2,3,Room_Type 6,,2,2,0,0,0,231,Online,0,0,0,184.63,10/28/2018,1
INN01316,2,5,Room_Type 1,half board,2,0,0,0,1,298,Online,0,0,0,110.95,8/14/2018,0
INN09382,1,1,Room_Type 1,,2,0,0,0,0,40,,0,0,0,84,1/25/2018,0
INN21847,2,2,Room_Type 1,full board,2,0,0,0,1,33,Online,0,0,0,130,10/28/2018,0
INN21479,1,3,Room_Type 1,breakfast,2,0,0,0,0,29,Offline,0,0,0,135,10/10/2018,0
INN08554,0,3,Room_Type 1,,2,0,0,0,1,20,Online,0,0,0,158,12/29/2018,0
INN14076,3,5,Room_Type 4,,2,1,0,0,1,122,Online,0,0,0,168.9,08/08/2018,0
INN07398,2,3,Room_Type 4,,2,1,0,0,2,,,0,0,0,,09/04/2018,0
INN30592,1,1,Room_Type 1,breakfast,2,0,0,0,0,297,Offline,0,0,0,135,06/06/2018,1
INN34957,0,1,Room_Type 1,half board,2,0,0,0,0,5,Online,0,0,0,141.6,8/20/2018,1
INN25994,0,1,Room_Type 1,half board,2,0,0,0,1,14,Online,0,0,0,150,11/05/2018,1
INN02687,0,3,Room_Type 1,half board,2,0,0,0,1,27,Online,0,0,0,110.95,11/17/2017,0
INN25441,1,2,Room_Type 2,half board,2,0,0,0,0,52,Online,0,0,0,89.52,02/05/2018,1
INN08285,1,2,Room_Type 1,half board,2,0,0,0,2,32,Online,0,0,0,173,10/03/2018,0
INN04786,1,1,Room_Type 1,half board,2,0,0,0,0,226,Online,0,0,0,125.3,8/13/2018,1
INN26677,0,4,Room_Type 1,,2,0,0,0,0,81,,0,0,0,,03/01/2018,0
INN06415,0,4,Room_Type 4,half board,3,0,0,0,2,35,Online,0,0,0,139.77,04/05/2018,0
INN29518,0,2,Room_Type 1,breakfast,2,0,0,0,0,351,Offline,0,0,0,135,7/21/2018,1
INN25122,1,2,Room_Type 1,half board,2,0,0,0,0,230,Offline,0,0,0,152,06/03/2018,1
INN02645,2,0,Room_Type 1,breakfast,2,0,0,0,0,90,Online,0,0,0,125,10/30/2018,1
INN25832,2,3,Room_Type 4,half board,2,0,0,0,0,113,Offline,0,0,0,80,12/24/2017,0
INN08185,1,1,Room_Type 1,,1,0,0,0,0,362,,0,0,0,,7/30/2018,0
INN02348,2,1,Room_Type 1,,2,0,0,0,2,149,Online,0,0,0,138.8,10/09/2018,0
INN09186,2,3,Room_Type 1,half board,1,0,0,0,2,50,Online,0,0,0,125,10/18/2017,0
INN09431,0,2,Room_Type 1,half board,2,1,0,0,2,9,Complementary,0,0,0,20,11/10/2018,0
INN05429,0,1,Room_Type 1,half board,2,0,0,0,1,2,Online,0,0,0,171,08/04/2018,0
INN15766,0,2,Room_Type 1,half board,1,0,0,0,0,39,Online,0,0,0,163.28,11/08/2018,1
INN09671,1,0,Room_Type 1,half board,1,0,0,1,1,6,Corporate,0,4,1,87,11/07/2018,0
INN21633,1,0,Room_Type 4,half board,3,0,0,0,1,3,Online,0,0,0,276,8/15/2018,1
INN09167,0,1,Room_Type 1,half board,2,0,0,0,0,68,Offline,0,0,0,140,06/08/2018,0
INN03825,1,3,Room_Type 4,half board,2,0,0,0,0,45,Online,0,0,0,133.4,6/20/2018,1
INN34323,0,2,Room_Type 4,,3,0,0,0,0,162,,0,0,0,157.7,08/02/2018,1
INN23356,0,3,Room_Type 1,half board,2,0,0,0,0,245,Offline,0,0,0,120,05/05/2018,1
INN29940,2,4,Room_Type 4,half board,2,0,0,0,1,216,Online,0,0,0,132.2,08/10/2018,1
INN04505,2,0,Room_Type 1,full board,2,0,0,1,2,26,Online,0,0,0,118,09/11/2018,0
INN32015,2,2,Room_Type 1,half board,2,0,0,0,2,2,Online,0,0,0,111.38,11/20/2018,0
INN34842,0,2,Room_Type 1,half board,2,0,0,0,1,106,Corporate,0,0,0,110,10/07/2018,0
INN30215,0,1,Room_Type 1,half board,2,1,0,0,1,14,Online,0,0,0,170,11/05/2018,1
INN02732,0,3,Room_Type 1,,2,0,0,0,0,195,Offline,0,0,0,90,9/17/2017,0
INN16788,0,3,Room_Type 1,half board,2,0,0,0,1,92,Online,0,0,0,113.6,11/03/2018,1
INN09327,0,1,Room_Type 1,half board,1,0,0,1,1,23,Corporate,0,9,1,118,10/26/2018,0
INN21582,2,5,Room_Type 4,,2,0,0,0,0,15,,0,0,0,92.96,01/10/2018,0
INN11474,0,2,Room_Type 1,full board,2,0,0,0,0,26,Online,0,0,0,101,2/25/2018,0
INN03687,1,0,Room_Type 1,,1,0,0,0,0,134,Online,0,0,0,140,10/10/2018,1
INN12278,0,2,Room_Type 1,half board,1,0,0,0,0,2,Offline,1,0,1,118.1,9/30/2017,0
INN22632,0,1,Room_Type 1,half board,2,0,0,0,0,68,Offline,0,0,0,140,06/08/2018,0
INN21945,1,2,Room_Type 1,half board,2,0,0,0,0,363,Offline,0,0,0,120,9/16/2018,1
INN24011,1,1,Room_Type 1,half board,2,0,0,0,0,94,Online,0,0,0,125.3,7/18/2018,1
INN09477,0,3,Room_Type 1,half board,1,0,0,0,0,332,Offline,0,0,0,115.67,9/22/2018,0
INN19482,1,2,Room_Type 1,half board,1,0,0,0,0,34,Offline,0,0,0,97,10/19/2017,0
INN27663,1,1,Room_Type 1,half board,1,0,0,0,0,15,Corporate,0,0,0,99,12/12/2018,0
INN25034,0,1,Room_Type 1,half board,1,0,0,0,0,10,Online,0,0,0,134.75,5/24/2018,0
INN01938,2,1,Room_Type 1,breakfast,2,0,1,0,0,6,Offline,0,0,0,136.5,8/15/2017,0
INN03760,0,0,Room_Type 1,half board,1,0,0,0,0,68,Online,0,0,0,20,9/25/2017,0
INN24533,0,2,Room_Type 1,,2,0,0,0,0,309,,0,0,0,,07/01/2017,1
INN12649,0,2,Room_Type 4,half board,3,0,0,0,0,57,Online,0,0,0,154.1,6/22/2018,1
INN25545,0,1,Room_Type 1,half board,1,0,0,0,1,4,Corporate,0,0,0,51,2/26/2018,0
INN00413,0,1,Room_Type 1,full board,1,0,0,0,0,45,Online,0,0,0,136.1,5/13/2018,0
INN14228,1,4,Room_Type 1,half board,2,0,0,0,0,178,Offline,0,0,0,87,12/30/2017,0
INN15228,1,3,Room_Type 1,half board,1,0,0,0,1,26,Online,0,0,0,111.25,8/31/2017,1
INN04214,2,2,Room_Type 1,half board,2,0,0,0,0,3,Offline,0,0,0,92.75,4/17/2018,0
INN00022,0,1,Room_Type 1,half board,1,0,0,0,0,147,Corporate,0,0,0,87,11/25/2018,0
INN33731,1,3,Room_Type 1,half board,2,0,0,0,0,58,Offline,0,0,0,105.5,5/30/2018,0
INN32256,1,2,Room_Type 1,half board,2,0,0,0,0,38,Offline,0,0,0,95,9/16/2018,1
INN21575,0,1,Room_Type 1,half board,1,0,0,0,0,14,Corporate,0,0,0,86,1/30/2018,0
INN01817,2,1,Room_Type 1,breakfast,2,0,0,0,0,141,Online,0,0,0,114.5,08/01/2017,1
INN11003,1,0,Room_Type 1,half board,1,0,0,0,0,12,Corporate,0,0,0,85,10/18/2017,0
INN29798,0,3,Room_Type 1,,2,0,0,0,0,,,0,0,0,,10/13/2018,0
INN35881,0,1,Room_Type 1,,1,0,0,0,1,6,Corporate,0,10,1,86,02/10/2018,0
INN18528,0,1,Room_Type 1,,1,0,0,0,1,34,,0,0,0,,10/19/2018,0
INN06239,2,5,Room_Type 4,half board,2,0,0,0,2,126,Online,0,0,0,152.3,10/06/2018,0
INN05225,0,2,Room_Type 1,,2,0,0,0,0,123,,0,0,0,129,10/16/2017,0
INN30982,2,3,Room_Type 1,half board,2,0,0,1,0,154,Offline,0,0,0,101.25,07/07/2018,0
INN09972,0,3,Room_Type 4,half board,3,0,0,0,1,96,Online,0,0,0,155.27,08/03/2018,0
INN22225,0,2,Room_Type 1,full board,2,0,0,0,1,2,Online,0,0,0,148,5/31/2018,0
INN10076,1,0,Room_Type 1,,1,0,0,0,0,18,,0,0,0,109,09/12/2018,1
INN02481,0,2,Room_Type 1,full board,2,0,0,0,2,26,Online,0,0,0,130,8/31/2018,0
INN31609,1,2,Room_Type 1,half board,2,0,0,0,2,114,Online,0,0,0,109.25,9/18/2017,0
INN10514,2,1,Room_Type 1,full board,2,0,0,0,1,88,Online,0,0,0,96.5,04/03/2018,0
INN22271,0,3,Room_Type 4,half board,2,0,0,0,0,155,Offline,0,0,0,82,02/04/2018,0
INN20804,1,3,Room_Type 1,breakfast,2,0,0,0,0,41,Offline,0,0,0,125.12,10/19/2017,0
INN35162,0,2,Room_Type 1,full board,2,0,0,1,1,2,Online,0,0,0,153,08/02/2018,0
INN08134,0,2,Room_Type 4,half board,2,0,0,0,1,78,Online,0,0,0,169.4,09/09/2018,0
INN28371,0,3,Room_Type 1,,2,0,0,0,0,335,Offline,0,0,0,130,10/12/2018,1
INN30823,1,4,Room_Type 2,half board,2,0,0,0,1,225,Offline,0,0,0,100.75,09/12/2018,0
INN21483,0,2,Room_Type 1,half board,2,0,1,0,3,21,Online,0,0,0,144,11/25/2018,0
INN30685,2,2,Room_Type 1,half board,2,0,0,0,0,14,Offline,0,0,0,108.5,10/23/2017,0
INN24882,3,7,Room_Type 2,half board,2,0,0,0,2,278,Online,0,0,0,101.82,08/01/2018,1
INN29040,0,3,Room_Type 1,half board,2,0,0,0,1,36,Online,0,0,0,133.4,11/18/2017,0
INN10467,2,2,Room_Type 1,half board,2,0,0,0,1,110,Online,0,0,0,138.8,10/08/2018,1
INN23409,4,6,Room_Type 1,,2,0,0,0,1,40,,0,0,0,,03/05/2018,0
INN09403,2,2,Room_Type 1,half board,2,0,0,0,0,59,Online,0,0,0,95.95,03/06/2018,0
INN10224,0,3,Room_Type 1,,2,0,0,0,0,53,,0,0,0,95,2/17/2018,0
INN18497,0,2,Room_Type 1,half board,2,0,0,0,0,387,Offline,0,0,0,72,12/09/2018,0
INN24930,1,2,Room_Type 2,half board,0,0,2,0,3,240,Online,0,0,0,102.92,10/31/2018,0
INN18569,2,1,Room_Type 1,full board,2,0,0,0,0,237,Online,0,0,0,102.5,10/30/2018,1
INN30069,0,4,Room_Type 4,half board,3,0,0,0,1,95,Online,0,0,0,139,11/30/2018,1
INN28963,1,2,Room_Type 1,half board,2,0,0,0,0,146,Offline,0,0,0,110,6/24/2018,1
INN07467,0,2,Room_Type 1,full board,2,0,0,0,1,47,Online,0,0,0,108,12/09/2018,0
INN35792,2,1,Room_Type 1,half board,2,0,0,0,0,47,Online,0,0,0,146.9,05/07/2018,0
INN11270,0,1,Room_Type 1,,2,0,1,0,1,142,,0,0,0,,08/11/2018,0
INN02457,2,1,Room_Type 1,half board,2,0,0,0,1,58,Offline,0,0,0,60.67,03/06/2018,0
INN34042,2,1,Room_Type 5,full board,2,0,0,0,0,22,Online,0,0,0,165,10/30/2018,0
INN34993,2,2,Room_Type 1,half board,1,0,0,0,0,89,Offline,0,0,0,88,7/23/2018,0
INN25933,0,2,Room_Type 1,half board,2,0,0,0,1,2,Corporate,0,0,0,51,2/26/2018,0
INN03027,2,1,Room_Type 1,half board,1,0,0,0,0,2,Online,0,0,0,80,2/28/2018,1
INN27175,2,1,Room_Type 1,,2,0,0,0,0,,,0,0,0,,4/24/2018,0
INN25017,2,1,Room_Type 1,half board,2,0,0,0,0,18,Online,0,0,0,134.33,06/12/2018,1
INN21121,1,1,Room_Type 1,,2,0,0,0,1,216,Offline,0,0,0,120,05/02/2018,0
INN11820,0,4,Room_Type 4,half board,3,0,0,0,0,126,Online,0,0,0,170.3,8/24/2018,1
INN23950,2,0,Room_Type 1,,1,0,0,0,2,114,Online,0,0,0,110,11/20/2018,1
INN25515,2,1,Room_Type 1,breakfast,2,0,0,0,1,28,Offline,0,0,0,129,01/02/2018,0
INN22259,1,4,Room_Type 4,,2,0,0,0,1,182,,0,0,0,140.7,07/06/2018,1
INN33956,1,2,Room_Type 4,,2,0,0,0,0,69,Online,0,0,0,334.1,12/30/2018,0
INN08511,1,2,Room_Type 1,,2,0,0,0,0,366,Offline,0,0,0,109,11/04/2018,1
INN07803,1,0,Room_Type 1,full board,2,0,0,0,0,3,Online,0,0,0,109,4/18/2018,0
INN21175,2,4,Room_Type 1,,2,1,0,0,1,59,Online,0,0,0,154.1,6/29/2018,0
INN01145,0,3,Room_Type 1,half board,2,0,0,0,1,140,Online,0,0,0,110,11/17/2018,0
INN15638,2,1,Room_Type 1,,1,0,0,0,0,3,Offline,0,0,0,92.5,8/15/2017,0
INN07819,0,1,Room_Type 1,full board,2,0,0,0,2,69,Online,0,0,0,99.2,12/01/2018,0
INN32056,2,3,Room_Type 1,half board,2,0,0,0,0,146,Online,0,0,0,94.54,5/14/2018,0
INN05635,0,2,Room_Type 1,half board,2,0,0,0,0,33,Offline,0,0,0,128,9/30/2017,0
INN05681,0,4,Room_Type 1,half board,2,0,0,0,0,34,Offline,0,0,0,105.6,11/11/2017,0
INN31339,2,0,Room_Type 1,full board,2,0,0,0,1,3,Online,0,0,0,142,6/26/2018,0
INN06383,2,2,Room_Type 1,half board,2,0,0,0,0,72,Online,0,0,0,95,3/20/2018,1
INN09456,1,3,Room_Type 4,half board,3,0,0,0,2,14,Online,0,0,0,161.95,5/30/2018,0
INN04253,2,1,Room_Type 1,full board,1,0,0,0,1,10,Online,0,0,0,107.53,09/03/2018,0
INN04084,0,2,Room_Type 1,breakfast,1,0,0,0,0,123,Offline,0,0,0,107,10/16/2017,0
INN10986,2,2,Room_Type 1,half board,2,0,0,0,1,215,Online,0,0,0,110.95,7/17/2018,0
INN19850,0,2,Room_Type 1,,2,0,0,0,1,14,,0,0,0,,5/31/2018,1
INN13131,2,3,Room_Type 1,,2,0,0,0,0,64,,0,0,0,,03/06/2018,0
INN33271,1,2,Room_Type 6,half board,2,0,0,0,2,9,Online,0,0,0,211.73,9/16/2018,0
INN08099,1,2,Room_Type 1,half board,2,0,0,0,1,251,Online,0,0,0,101.77,4/25/2018,0
INN34350,1,2,Room_Type 1,half board,1,0,0,0,1,46,Offline,0,0,0,101,9/19/2018,0
INN20631,2,2,Room_Type 1,half board,2,0,0,0,2,28,Online,0,0,0,144,9/20/2017,0
INN27939,2,2,Room_Type 1,half board,2,0,0,0,0,119,Offline,0,0,0,85,10/30/2017,1
INN22351,0,1,Room_Type 1,,2,0,0,0,0,,,0,0,0,,9/15/2018,0
INN24485,0,4,Room_Type 1,,2,0,0,0,0,304,Offline,0,0,0,110,05/04/2018,1
INN21717,2,3,Room_Type 1,half board,2,0,0,0,1,44,Online,0,0,0,155.9,8/19/2018,0
INN09185,0,2,Room_Type 1,,2,0,0,0,0,351,Offline,0,0,0,135,7/21/2018,1
INN23487,0,1,Room_Type 1,half board,2,0,0,0,1,102,Online,0,0,0,146.9,08/05/2018,0
INN10526,0,2,Room_Type 1,half board,2,0,0,0,0,21,Offline,0,0,0,68,10/16/2017,0
INN25382,2,5,Room_Type 4,half board,3,0,0,0,1,106,Online,0,0,0,139,12/17/2018,0
INN22298,2,4,Room_Type 1,half board,2,0,0,0,2,11,Online,0,0,0,150.17,09/12/2017,0
INN13372,0,1,Room_Type 6,,2,0,2,0,0,15,,0,0,0,,8/19/2018,1
INN28200,1,5,Room_Type 4,half board,2,0,0,0,0,144,Online,0,0,0,163.1,9/20/2018,1
INN24249,2,3,Room_Type 1,half board,2,0,0,0,0,94,Online,0,0,0,155.9,09/03/2018,1
INN10400,2,3,Room_Type 1,full board,2,0,0,0,0,86,Online,0,0,0,104.15,4/23/2018,1
INN16423,0,3,Room_Type 1,half board,2,0,0,0,1,370,Online,0,0,0,98.3,11/23/2018,1
INN31258,0,2,Room_Type 1,,1,0,0,0,0,226,,0,0,0,,6/15/2018,1
INN05648,1,1,Room_Type 1,half board,2,0,0,0,0,30,Offline,0,0,0,96.5,8/15/2018,0
INN08866,1,2,Room_Type 1,half board,2,0,0,0,0,170,Offline,0,0,0,152,06/03/2018,0
INN02999,2,2,Room_Type 1,half board,2,0,0,0,0,72,Online,0,0,0,95,3/20/2018,1
INN18665,0,3,Room_Type 4,,3,0,0,0,1,154,,0,0,0,171.2,10/11/2018,1
INN18905,1,1,Room_Type 1,half board,2,0,0,0,0,381,Online,0,0,0,98.3,11/19/2018,1
INN06343,2,2,Room_Type 1,half board,2,0,0,0,3,98,Online,0,0,0,137.9,8/14/2018,0
INN11063,0,1,Room_Type 1,half board,1,0,0,0,1,104,Online,0,0,0,105.5,4/27/2018,0
INN11075,3,7,Room_Type 1,half board,2,0,1,0,0,89,Online,0,0,0,89.4,7/27/2017,0
INN24340,2,5,Room_Type 2,half board,2,0,0,0,1,18,Online,0,0,0,105.29,8/27/2017,1
INN19190,2,4,Room_Type 1,,2,0,0,0,1,269,,0,0,0,,09/04/2018,1
INN19923,2,2,Room_Type 1,half board,2,0,0,0,3,15,Online,0,0,0,110,8/23/2017,0
INN34556,0,2,Room_Type 4,half board,2,0,0,0,0,102,Online,0,0,0,160.4,5/26/2018,1
INN08510,0,2,Room_Type 1,,1,0,0,0,0,114,,0,0,0,,04/05/2018,1
INN12052,2,5,Room_Type 4,,2,0,0,0,0,128,,0,0,0,141.37,7/18/2018,1
INN24184,1,0,Room_Type 1,,1,0,0,0,0,,,0,2,1,,04/04/2018,0
INN29983,1,2,Room_Type 1,,3,0,0,0,0,76,,0,0,0,,4/29/2018,0
INN14587,2,5,Room_Type 1,half board,3,0,0,0,2,278,Offline,0,0,0,116.9,8/23/2018,0
INN31158,0,2,Room_Type 1,half board,2,0,0,0,0,6,Corporate,0,0,0,130,5/24/2018,0
INN22219,1,2,Room_Type 1,half board,2,0,0,0,1,155,Offline,0,0,0,100.75,5/13/2018,0
INN30456,0,1,Room_Type 1,,2,0,0,0,0,0,,0,0,0,,05/06/2018,0
INN07019,2,3,Room_Type 2,half board,2,0,0,0,0,342,Online,0,0,0,101.81,10/16/2018,1
INN31866,1,2,Room_Type 1,,1,0,0,0,0,216,Offline,0,0,0,140,10/10/2018,1
INN23591,1,3,Room_Type 1,full board,2,0,0,0,1,9,Online,0,0,0,129,3/28/2018,1
INN07444,2,1,Room_Type 4,half board,2,0,1,0,2,165,Offline,0,0,0,97,02/07/2018,0
INN30558,0,1,Room_Type 1,,2,0,0,0,1,29,,0,0,0,,10/09/2017,0
INN25975,2,2,Room_Type 1,half board,2,0,0,0,0,57,Offline,0,0,0,100.75,10/16/2018,0
INN21609,1,3,Room_Type 1,half board,2,0,0,0,2,114,Online,0,0,0,106.25,11/14/2018,0
INN24877,0,1,Room_Type 1,,2,0,0,0,1,14,,0,0,0,,11/05/2018,1
INN29245,2,5,Room_Type 1,full board,2,0,0,0,0,310,Online,0,0,0,110.1,10/02/2018,1
INN25828,0,3,Room_Type 4,,2,0,0,0,1,46,,0,0,0,156.8,09/07/2018,0
INN02272,1,2,Room_Type 1,half board,2,0,0,0,0,110,Offline,0,0,0,100,9/30/2018,0
INN13305,0,2,Room_Type 1,half board,2,0,0,0,0,72,Offline,0,0,0,95,11/18/2018,0
INN05583,2,0,Room_Type 1,full board,2,0,0,0,1,17,Online,0,0,0,129,06/12/2018,0
INN13769,0,2,Room_Type 1,half board,1,0,0,0,0,197,Offline,0,0,0,120,10/02/2017,0
INN32913,2,3,Room_Type 4,half board,2,0,0,0,1,173,Online,0,0,0,132.03,5/22/2018,0
INN36067,0,3,Room_Type 1,half board,2,0,0,0,0,147,Online,0,0,0,88,12/08/2018,0
INN32714,0,3,Room_Type 1,half board,2,0,0,0,1,135,Offline,0,0,0,140,06/02/2018,0
INN26924,0,3,Room_Type 1,full board,2,0,0,0,1,34,Online,0,0,0,116.02,05/11/2018,0
INN23491,0,3,Room_Type 1,half board,2,0,0,0,0,335,Offline,0,0,0,130,10/12/2018,1
INN17111,0,1,Room_Type 1,,1,0,0,0,0,58,,0,0,0,,09/11/2017,0
INN07978,0,4,Room_Type 1,half board,2,0,0,0,0,156,Offline,0,0,0,107.55,4/19/2018,0
INN28173,0,1,Room_Type 1,half board,1,0,0,0,0,5,Corporate,0,2,1,85,11/22/2018,0
INN19073,1,1,Room_Type 1,,1,0,0,0,1,9,Offline,0,0,0,111,5/21/2018,0
